id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,123,"['thriller', 'action']",['US'],tt0120755,8.5
tm113513,Dumb and Dumber,MOVIE,1994,PG-13,107,['comedy'],['US'],tt0109686,8.5
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],tt0112159,8.5
tm192405,Gattaca,MOVIE,1997,PG-13,106,"['scifi', 'thriller', 'romance', 'drama']",['US'],tt0119177,8.5
tm116655,Léon: The Professional,MOVIE,1994,R,111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",tt0110413,8.5
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],tt0238784,8.5
tm116488,Natural Born Killers,MOVIE,1994,R,118,"['thriller', 'drama', 'crime', 'action']",['US'],tt0110632,8.5
tm11556,The Quick and the Dead,MOVIE,1995,R,107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",tt0114214,8.5
tm56574,You've Got Mail,MOVIE,1998,PG,119,"['comedy', 'romance', 'drama']",['US'],tt0128853,8.5
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,"['action', 'scifi', 'fantasy', 'family']",['US'],tt0106064,8.5
tm53991,Big Daddy,MOVIE,1999,PG-13,93,"['drama', 'comedy', 'european']",['US'],tt0142342,8.5
tm49178,Vampires,MOVIE,1998,R,104,"['fantasy', 'action', 'horror', 'thriller']",['US'],tt0120877,8.5
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],tt4834194,8.5
tm191989,Donnie Brasco,MOVIE,1997,R,127,"['drama', 'thriller', 'crime']",['US'],tt0119008,8.5
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",tt0108847,8.5
ts22489,Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",tt0111987,8.5
ts21034,InuYasha,SHOW,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],tt0290223,8.5
tm121879,A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],tt0105265,8.5
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['DE', 'US']",tt0172493,8.5
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,"['action', 'fantasy', 'comedy', 'family']",['US'],tt0107362,8.5
ts16919,All That,SHOW,1994,TV-G,22,"['comedy', 'family', 'music']",['US'],tt0111875,8.5
tm6859,My Girl,MOVIE,1991,PG,103,"['drama', 'family', 'romance', 'comedy', 'european']",['US'],tt0102492,8.5
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,"['western', 'crime', 'action', 'drama']",['US'],tt0111756,8.5
tm111163,Eraser,MOVIE,1996,R,115,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",tt0116213,8.5
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']",['JP'],tt0169858,8.5
tm192769,Vegas Vacation,MOVIE,1997,PG,94,['comedy'],['US'],tt0120434,8.5
tm187791,In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'crime', 'action']",['US'],tt0107206,8.5
tm113576,Little Women,MOVIE,1994,PG,115,"['drama', 'romance', 'family']",['US'],tt0110367,8.5
tm65686,U.S. Marshals,MOVIE,1998,PG-13,131,"['thriller', 'crime', 'action']",['US'],tt0120873,8.5
ts8570,Barney & Friends,SHOW,1992,TV-G,28,"['comedy', 'family']",['US'],tt0144701,8.5
tm191387,Anaconda,MOVIE,1997,PG-13,89,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",tt0118615,8.4
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,25,"['family', 'comedy']",['US'],tt0115231,8.4
tm19494,The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],tt0191397,8.4
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,"['action', 'drama', 'history', 'war']",['US'],tt0120102,8.4
tm12499,The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],tt0113957,8.4
tm186589,Cliffhanger,MOVIE,1993,R,112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",tt0106582,8.4
tm189764,Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],tt0107554,8.4
tm10739,Johnny Mnemonic,MOVIE,1995,R,97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",tt0113481,8.4
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",tt0109015,8.4
tm55369,Edge of Seventeen,MOVIE,1998,R,104,"['romance', 'drama', 'comedy']",['US'],tt0138414,8.4
ts251477,My First Errand,SHOW,1991,TV-G,18,"['documentation', 'family', 'reality']",['JP'],,
tm192431,The Devil's Own,MOVIE,1997,R,107,"['crime', 'thriller', 'drama', 'action', 'european']",['US'],tt0962637,8.4
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],tt0221735,8.4
tm192199,Spawn,MOVIE,1997,PG-13,96,"['scifi', 'action', 'drama', 'horror']",['US'],tt0120177,8.4
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],tt0222518,8.4
tm56033,Croupier,MOVIE,1998,R,94,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",tt0159382,8.4
ts21581,Girlfriends,SHOW,2000,TV-PG,21,"['drama', 'comedy']",['US'],tt0247102,8.4
tm117488,The Next Karate Kid,MOVIE,1994,PG,107,"['action', 'drama', 'family', 'sport', 'romance']",['US'],tt0110657,8.4
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'history', 'drama']",['US'],tt0107004,8.4
tm191431,Double Team,MOVIE,1997,R,93,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",tt0119013,8.4
tm10811,Heavy,MOVIE,1995,R,105,"['drama', 'romance']",['US'],tt0113280,8.4
tm49839,The Players Club,MOVIE,1998,R,104,"['comedy', 'drama']",['US'],tt0119905,8.4
ts20918,The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],tt0200353,8.4
ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],tt0108927,8.4
ts20939,Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],tt0115275,8.4
ts21684,Heartbreak High,SHOW,1994,TV-MA,45,"['drama', 'romance', 'comedy']",['AU'],tt5582224,8.4
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['animation', 'comedy', 'family', 'action', 'european']",['FR'],tt0213363,8.4
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,185,"['romance', 'comedy', 'drama']",['IN'],tt0172684,8.4
tm320211,Children of God,MOVIE,1994,,63,['documentation'],['GB'],tt6051792,8.4
tm7073,Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],tt0102227,8.4
ts28516,Okupas,SHOW,2000,TV-MA,40,"['drama', 'crime']",['AR'],tt0289649,8.4
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,,206,"['drama', 'romance', 'comedy']",['IN'],tt0110076,8.4
tm55100,Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],tt0164538,8.4
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],tt0500140,8.4
ts22039,H,SHOW,1998,TV-MA,25,['comedy'],['FR'],tt0173554,8.4
tm188606,Sankofa,MOVIE,1993,,124,"['drama', 'european']","['DE', 'GH', 'GB', 'US', 'BF']",tt0108041,8.4
tm41525,Herod's Law,MOVIE,1999,R,123,"['comedy', 'crime', 'thriller']",['MX'],tt0221344,8.4
tm189171,Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['ES', 'AR']",tt0108291,8.4
tm63514,The Last Days,MOVIE,1998,PG-13,87,"['drama', 'history', 'war', 'documentation']",['US'],tt0174852,8.4
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,,72,"['comedy', 'music', 'documentation']",['US'],tt0249934,8.4
tm188970,Bill Hicks: Revelations,MOVIE,1993,,74,"['comedy', 'documentation']",['GB'],tt0152183,8.4
tm12876,Bombay,MOVIE,1995,,141,"['drama', 'romance']",['IN'],tt0112553,8.4
ts224786,Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],,
tm62176,Mann,MOVIE,1999,,174,"['drama', 'romance']",['IN'],tt0206921,8.4
tm52871,Soldier,MOVIE,1998,,156,"['thriller', 'action', 'drama', 'romance']",['IN'],tt0211634,8.4
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,,49,['comedy'],['US'],,
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,,56,"['comedy', 'documentation']",['US'],tt0938333,8.4
tm184326,Damini,MOVIE,1993,,175,"['drama', 'crime']",['IN'],tt0106655,8.4
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,177,"['romance', 'family', 'fantasy', 'drama']",['IN'],tt0216817,8.4
tm191614,Destiny,MOVIE,1997,,136,"['drama', 'history', 'comedy', 'romance']","['FR', 'EG']",tt0119629,8.4
tm110766,Chronicle of a Disappearance,MOVIE,1996,,88,['drama'],"['PS', 'US', 'FR', 'DE']",tt0115895,8.4
tm9898,Muthu,MOVIE,1995,G,165,"['comedy', 'drama', 'action', 'romance']",['IN'],tt0140399,8.4
tm47530,Jeans,MOVIE,1998,,175,"['comedy', 'drama', 'romance']",['IN'],tt0151121,8.4
tm57169,Monty Python: Live at Aspen,MOVIE,1998,,58,"['comedy', 'documentation']","['GB', 'US']",tt0287570,8.4
tm192301,Minsara Kanavu,MOVIE,1997,G,145,"['comedy', 'romance', 'drama']",['IN'],tt0274789,8.4
tm58893,Duplicate,MOVIE,1998,PG,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],tt0164550,8.4
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,160,"['drama', 'comedy']",['IN'],tt0139872,8.4
tm118438,Anjaam,MOVIE,1994,,137,"['romance', 'crime', 'thriller', 'drama']",['IN'],tt0109134,8.4
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,100,"['drama', 'sport']",['US'],tt0103123,8.4
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],tt0222270,8.4
tm203186,Children of Shatila,MOVIE,1999,,50,"['documentation', 'history']",['LB'],tt0243174,8.4
tm128073,Bill Hicks: Relentless,MOVIE,1992,,61,['comedy'],['GB'],,
tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],tt0294967,8.4
tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],,
tm52083,West Beirut,MOVIE,1998,PG-13,105,"['romance', 'drama', 'comedy', 'war', 'european']","['FR', 'NO', 'LB', 'BE']",tt0157183,8.4
tm340430,Govindha Govindha,MOVIE,1993,,145,"['drama', 'action', 'crime']",['IN'],tt0187096,8.4
tm7032,Out of Life,MOVIE,1991,,97,"['drama', 'war', 'crime', 'european']","['BE', 'FR', 'IT', 'LB']",tt0102058,8.3
tm256669,Gumrah,MOVIE,1993,,149,"['drama', 'action', 'crime', 'thriller']",['IN'],tt0107060,8.3
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,,56,"['comedy', 'documentation']",['US'],tt0938332,8.3
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,60,"['comedy', 'documentation']",['US'],tt0938331,8.3
tm25389,Fiza,MOVIE,2000,,170,"['romance', 'action', 'crime', 'drama', 'thriller']",['IN'],tt0248012,8.3
tm34391,Before the Flying Circus,MOVIE,2000,,55,"['comedy', 'documentation']",['GB'],tt9230920,8.3
tm44776,The Other,MOVIE,1999,,106,"['romance', 'european', 'drama']","['FR', 'EG']",tt0196355,8.3
tm334788,Yodha,MOVIE,1991,,142,"['action', 'drama']",['IN'],tt0267130,8.3
tm117840,The Emigrant,MOVIE,1994,,129,['drama'],"['FR', 'EG']",tt0110545,8.3
tm42397,Hello Brother,MOVIE,1999,,131,"['comedy', 'romance', 'fantasy', 'action']",['IN'],tt0233856,8.3
tm314602,Dushmani,MOVIE,1995,,156,"['romance', 'action', 'drama']",['IN'],tt0112916,8.3
tm255589,One Last Shot,MOVIE,1998,,30,[],[],,
tm7810,Nightmare in Columbia County,MOVIE,1991,,100,"['drama', 'thriller', 'crime']",['US'],tt0102537,8.3
tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,,118,['drama'],['TR'],,
tm449775,Shikari,MOVIE,1991,,162,"['drama', 'action']","['IN', 'SU']",tt0170416,8.3
ts4,Breaking Bad,SHOW,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],tt0903747,8.3
ts20371,Top Gear,SHOW,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],tt1628033,8.3
ts9,The Walking Dead,SHOW,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],tt1520211,8.3
ts21465,Supernatural,SHOW,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],tt0460681,8.3
tm74402,The Mist,MOVIE,2007,R,126,"['horror', 'scifi', 'thriller']",['US'],tt0884328,8.3
tm91952,Mean Girls,MOVIE,2004,PG-13,97,['comedy'],"['CA', 'US']",tt0377092,8.3
ts288536,The Great British Baking Show,SHOW,2010,TV-PG,57,"['reality', 'european']",['GB'],tt1877368,8.3
ts12724,30 Rock,SHOW,2006,TV-14,25,"['comedy', 'sport']",['US'],tt0496424,8.3
ts6644,Borgen,SHOW,2010,TV-MA,58,"['drama', 'european']",['DK'],tt1526318,8.3
ts8308,Community,SHOW,2009,TV-PG,23,['comedy'],['US'],tt1439629,8.3
tm111828,Catch Me If You Can,MOVIE,2002,PG-13,141,"['drama', 'crime']",['US'],tt0264464,8.3
ts21469,Grey's Anatomy,SHOW,2005,TV-14,49,"['drama', 'romance']",['US'],tt0413573,8.3
ts17156,Arrested Development,SHOW,2003,TV-MA,28,['comedy'],['US'],tt0367279,8.3
ts22011,Heartland,SHOW,2007,TV-PG,44,"['drama', 'family']",['CA'],tt1094229,8.3
ts26091,The Staircase,SHOW,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],tt8178674,8.3
tm150112,Old School,MOVIE,2003,R,88,"['comedy', 'european']",['US'],tt0302886,8.3
ts22337,NCIS,SHOW,2003,TV-14,43,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],tt0364845,8.3
ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],tt0417299,8.3
tm80906,Anchorman: The Legend of Ron Burgundy,MOVIE,2004,PG-13,95,['comedy'],['US'],tt0357413,8.3
ts20604,Friday Night Lights,SHOW,2006,TV-14,43,"['drama', 'sport']",['US'],tt0758745,8.3
ts20573,The IT Crowd,SHOW,2006,TV-14,25,"['comedy', 'european']",['GB'],tt0487831,8.3
tm92641,Inception,MOVIE,2010,PG-13,148,"['action', 'scifi', 'music', 'thriller']","['US', 'GB']",tt1375666,8.3
